,"Voltage, V","Current, A"
0,-0.8,-4.09657e-05
1,-0.795,-3.9524e-05
2,-0.79,-3.83459e-05
3,-0.785,-3.72821e-05
4,-0.78,-3.6298e-05
5,-0.775,-3.5393e-05
6,-0.77,-3.45367e-05
7,-0.765,-3.3734e-05
8,-0.76,-3.29767e-05
9,-0.755,-3.2244e-05
10,-0.75,-3.1542e-05
11,-0.745,-3.08886e-05
12,-0.74,-3.02479e-05
13,-0.735,-2.96235e-05
14,-0.73,-2.90251e-05
15,-0.725,-2.84554e-05
16,-0.72,-2.78959e-05
17,-0.715,-2.73725e-05
18,-0.71,-2.68639e-05
19,-0.705,-2.63664e-05
20,-0.7,-2.58802e-05
21,-0.695,-2.54167e-05
22,-0.69,-2.49604e-05
23,-0.685,-2.45083e-05
24,-0.68,-2.40765e-05
25,-0.675,-2.3663e-05
26,-0.67,-2.32529e-05
27,-0.665,-2.28553e-05
28,-0.66,-2.24616e-05
29,-0.655,-2.20838e-05
30,-0.65,-2.17038e-05
31,-0.645,-2.13399e-05
32,-0.64,-2.10018e-05
33,-0.635,-2.06435e-05
34,-0.63,-2.02971e-05
35,-0.625,-1.99645e-05
36,-0.62,-1.96421e-05
37,-0.615,-1.93208e-05
38,-0.61,-1.9011e-05
39,-0.605,-1.87031e-05
40,-0.600001,-1.84002e-05
41,-0.595001,-1.81052e-05
42,-0.590001,-1.78091e-05
43,-0.585001,-1.75272e-05
44,-0.580001,-1.72519e-05
45,-0.575001,-1.69735e-05
46,-0.570001,-1.66963e-05
47,-0.565001,-1.64292e-05
48,-0.560001,-1.6161e-05
49,-0.555001,-1.59007e-05
50,-0.550001,-1.56386e-05
51,-0.545001,-1.53806e-05
52,-0.540001,-1.51303e-05
53,-0.535001,-1.48762e-05
54,-0.530001,-1.46307e-05
55,-0.525001,-1.4383e-05
56,-0.520001,-1.41375e-05
57,-0.515001,-1.38922e-05
58,-0.510001,-1.36466e-05
59,-0.505001,-1.34137e-05
60,-0.500001,-1.31893e-05
61,-0.495001,-1.29547e-05
62,-0.490001,-1.27244e-05
63,-0.485001,-1.24887e-05
64,-0.480001,-1.22603e-05
65,-0.475001,-1.2033e-05
66,-0.470001,-1.18116e-05
67,-0.465001,-1.15886e-05
68,-0.460001,-1.13735e-05
69,-0.455001,-1.11519e-05
70,-0.450001,-1.0916e-05
71,-0.445001,-1.07202e-05
72,-0.440001,-1.05092e-05
73,-0.435001,-1.02967e-05
74,-0.430001,-1.00886e-05
75,-0.425001,-9.88414e-06
76,-0.420001,-9.67089e-06
77,-0.415001,-9.46926e-06
78,-0.410001,-9.27213e-06
79,-0.405001,-9.07726e-06
80,-0.400001,-8.8846e-06
81,-0.395001,-8.68855e-06
82,-0.390001,-8.50507e-06
83,-0.385001,-8.31747e-06
84,-0.380001,-8.13179e-06
85,-0.375001,-7.94903e-06
86,-0.370001,-7.76525e-06
87,-0.365001,-7.59274e-06
88,-0.360001,-7.41523e-06
89,-0.355001,-7.24103e-06
90,-0.350001,-7.06722e-06
91,-0.345001,-6.89991e-06
92,-0.340001,-6.73268e-06
93,-0.335001,-6.56547e-06
94,-0.330001,-6.39938e-06
95,-0.325001,-6.23477e-06
96,-0.320001,-6.07194e-06
97,-0.315001,-5.90948e-06
98,-0.310001,-5.75064e-06
99,-0.305001,-5.5907e-06
100,-0.300001,-5.42959e-06
101,-0.295001,-5.27388e-06
102,-0.290001,-5.11467e-06
103,-0.285001,-4.96091e-06
104,-0.280001,-4.80894e-06
105,-0.275001,-4.65563e-06
106,-0.270001,-4.50459e-06
107,-0.265001,-4.35483e-06
108,-0.260001,-4.20279e-06
109,-0.255001,-4.0537e-06
110,-0.250001,-3.90096e-06
111,-0.245001,-3.75672e-06
112,-0.240001,-3.60996e-06
113,-0.235001,-3.49817e-06
114,-0.230001,-3.35285e-06
115,-0.225001,-3.20672e-06
116,-0.220001,-3.06605e-06
117,-0.215001,-2.92015e-06
118,-0.210001,-2.77791e-06
119,-0.205001,-2.63601e-06
120,-0.200002,-2.49151e-06
121,-0.195002,-2.3538e-06
122,-0.190002,-2.21205e-06
123,-0.185002,-2.07311e-06
124,-0.180002,-1.93237e-06
125,-0.175002,-1.79323e-06
126,-0.170002,-1.65227e-06
127,-0.165002,-1.51412e-06
128,-0.160002,-1.37674e-06
129,-0.155002,-1.23907e-06
130,-0.150002,-1.10182e-06
131,-0.145002,-9.6063e-07
132,-0.140002,-8.25311e-07
133,-0.135002,-6.88176e-07
134,-0.130002,-5.55516e-07
135,-0.125002,-4.17819e-07
136,-0.120002,-2.80317e-07
137,-0.115002,-1.43446e-07
138,-0.110002,-7.09086e-09
139,-0.105002,1.3161e-07
140,-0.100002,2.67374e-07
141,-0.0950018,4.05358e-07
142,-0.0900018,5.4346e-07
143,-0.0850018,6.87056e-07
144,-0.0800018,8.20495e-07
145,-0.0750018,9.68418e-07
146,-0.0700018,1.10951e-06
147,-0.0650018,1.251e-06
148,-0.0600019,1.39392e-06
149,-0.0550019,1.54187e-06
150,-0.0500019,1.68824e-06
151,-0.0450019,1.8338e-06
152,-0.0400019,1.97839e-06
153,-0.0350019,2.12476e-06
154,-0.0300019,2.26801e-06
155,-0.0250019,2.42682e-06
156,-0.020002,2.57723e-06
157,-0.015002,2.72925e-06
158,-0.010002,2.88088e-06
159,-0.00500199,3.03716e-06
160,-2e-06,3.18942e-06
161,0.00499799,3.34523e-06
162,0.00999797,3.49903e-06
163,0.014998,3.65651e-06
164,0.0199979,3.81731e-06
165,0.0249979,3.97684e-06
166,0.0299979,4.13709e-06
167,0.0349979,4.29976e-06
168,0.0399979,4.46411e-06
169,0.0449979,4.62824e-06
170,0.0499979,4.79463e-06
171,0.0549979,4.96507e-06
172,0.0599978,5.13639e-06
173,0.0649978,5.31046e-06
174,0.0699978,5.48239e-06
175,0.0749978,5.66247e-06
176,0.0799978,5.84192e-06
177,0.0849978,6.02536e-06
178,0.0899978,6.20919e-06
179,0.0949978,6.39892e-06
180,0.0999977,6.59429e-06
181,0.104998,6.78895e-06
182,0.109998,6.98746e-06
183,0.114998,7.19068e-06
184,0.119998,7.3978e-06
185,0.124998,7.60828e-06
186,0.129998,7.823e-06
187,0.134998,8.04023e-06
188,0.139998,8.26086e-06
189,0.144998,8.49043e-06
190,0.149998,8.71796e-06
191,0.154998,8.95693e-06
192,0.159998,9.19467e-06
193,0.164998,9.439e-06
194,0.169998,9.68913e-06
195,0.174998,9.94272e-06
196,0.179998,1.02009e-05
197,0.184998,1.04653e-05
198,0.189998,1.07322e-05
199,0.194998,1.10043e-05
200,0.199997,1.12773e-05
201,0.204997,1.15632e-05
202,0.209997,1.18449e-05
203,0.214997,1.21325e-05
204,0.219997,1.24209e-05
205,0.224997,1.27173e-05
206,0.229997,1.30127e-05
207,0.234997,1.33117e-05
208,0.239997,1.36117e-05
209,0.244997,1.39148e-05
210,0.249997,1.42184e-05
211,0.254997,1.4527e-05
212,0.259997,1.48284e-05
213,0.264997,1.51318e-05
214,0.269997,1.54336e-05
215,0.274997,1.57391e-05
216,0.279997,1.60285e-05
217,0.284997,1.63208e-05
218,0.289997,1.66101e-05
219,0.294997,1.68926e-05
220,0.299997,1.7173e-05
221,0.304997,1.74512e-05
222,0.309997,1.77179e-05
223,0.314997,1.79818e-05
224,0.319997,1.82386e-05
225,0.324997,1.84923e-05
226,0.329997,1.87304e-05
227,0.334997,1.89673e-05
228,0.339997,1.91957e-05
229,0.344997,1.94145e-05
230,0.349997,1.96283e-05
231,0.354997,1.98355e-05
232,0.359997,2.00389e-05
233,0.364997,2.02392e-05
234,0.369997,2.0434e-05
235,0.374997,2.06218e-05
236,0.379997,2.08134e-05
237,0.384997,2.10438e-05
238,0.389997,2.12293e-05
239,0.394997,2.1415e-05
240,0.399997,2.15991e-05
241,0.404997,2.1785e-05
242,0.409997,2.19753e-05
243,0.414997,2.21621e-05
244,0.419997,2.23538e-05
245,0.424997,2.25571e-05
246,0.429997,2.27486e-05
247,0.434997,2.2948e-05
248,0.439997,2.31548e-05
249,0.444997,2.3359e-05
250,0.449997,2.35685e-05
251,0.454997,2.37831e-05
252,0.459997,2.39994e-05
253,0.464997,2.42183e-05
254,0.469997,2.44409e-05
255,0.474997,2.46741e-05
256,0.479997,2.48968e-05
257,0.484997,2.51238e-05
258,0.489997,2.53652e-05
259,0.494997,2.55973e-05
260,0.499997,2.58469e-05
261,0.504997,2.60917e-05
262,0.509997,2.63427e-05
263,0.514997,2.65947e-05
264,0.519997,2.68543e-05
265,0.524997,2.71154e-05
266,0.529997,2.73815e-05
267,0.534997,2.76545e-05
268,0.539997,2.79295e-05
269,0.544997,2.82055e-05
270,0.549997,2.84929e-05
271,0.554997,2.87776e-05
272,0.559997,2.90617e-05
273,0.564997,2.93619e-05
274,0.569997,2.96576e-05
275,0.574997,2.99556e-05
276,0.579997,3.02612e-05
277,0.584997,3.05678e-05
278,0.589997,3.08736e-05
279,0.594997,3.11815e-05
280,0.599996,3.14872e-05
281,0.604996,3.17948e-05
282,0.609996,3.20948e-05
283,0.614996,3.23829e-05
284,0.619996,3.26763e-05
285,0.624996,3.29595e-05
286,0.629996,3.32643e-05
287,0.634996,3.35949e-05
288,0.639996,3.39271e-05
289,0.644996,3.42563e-05
290,0.649996,3.45611e-05
291,0.654996,3.48986e-05
292,0.659996,3.53244e-05
293,0.664996,3.57083e-05
294,0.669996,3.60302e-05
295,0.674996,3.63665e-05
296,0.679996,3.66779e-05
297,0.684996,3.70179e-05
298,0.689996,3.73411e-05
299,0.694996,3.76608e-05
300,0.699996,3.79855e-05
301,0.704996,3.82858e-05
302,0.709996,3.86325e-05
303,0.714996,3.8924e-05
304,0.719996,3.92172e-05
305,0.724996,3.94927e-05
306,0.729996,3.97909e-05
307,0.734996,4.00815e-05
308,0.739996,4.03421e-05
309,0.744996,4.06486e-05
310,0.749996,4.09128e-05
311,0.754996,4.11713e-05
312,0.759996,4.14209e-05
313,0.764996,4.16863e-05
314,0.769996,4.19422e-05
315,0.774996,4.21943e-05
316,0.779996,4.24516e-05
317,0.784996,4.26976e-05
318,0.789996,4.28898e-05
319,0.794996,4.3139e-05
320,0.799996,4.33824e-05
321,0.804996,4.36214e-05
322,0.809996,4.38503e-05
323,0.814996,4.40743e-05
324,0.819996,4.42876e-05
325,0.824996,4.45247e-05
326,0.829996,4.47439e-05
327,0.834996,4.49466e-05
328,0.839996,4.515e-05
329,0.844996,4.53554e-05
330,0.849996,4.55474e-05
331,0.854996,4.57468e-05
332,0.859996,4.59395e-05
333,0.864996,4.61226e-05
334,0.869996,4.63055e-05
335,0.874996,4.64957e-05
336,0.879996,4.6671e-05
337,0.884996,4.6847e-05
338,0.889996,4.70204e-05
339,0.894996,4.71893e-05
340,0.899996,4.73517e-05
341,0.904996,4.75144e-05
342,0.909996,4.76761e-05
343,0.914996,4.78307e-05
344,0.919996,4.79857e-05
345,0.924996,4.81423e-05
346,0.929996,4.8289e-05
347,0.934996,4.84394e-05
348,0.939996,4.85893e-05
349,0.944996,4.87288e-05
350,0.949996,4.88765e-05
351,0.954996,4.90153e-05
352,0.959996,4.91552e-05
353,0.964996,4.92944e-05
354,0.969996,4.94363e-05
355,0.974996,4.95657e-05
356,0.979996,4.96983e-05
357,0.984996,4.98259e-05
358,0.989996,4.99507e-05
359,0.994996,5.00639e-05
360,0.999995,5.01858e-05
361,1.005,5.0303e-05
362,1.01,5.04174e-05
363,1.015,5.05307e-05
364,1.02,5.06448e-05
365,1.025,5.07557e-05
366,1.03,5.08769e-05
367,1.035,5.09877e-05
368,1.04,5.10999e-05
369,1.045,5.12143e-05
370,1.05,5.1322e-05
371,1.055,5.14168e-05
372,1.06,5.15213e-05
373,1.065,5.16226e-05
374,1.07,5.17209e-05
375,1.075,5.18149e-05
376,1.08,5.19376e-05
377,1.085,5.20363e-05
378,1.09,5.20975e-05
379,1.095,5.21819e-05
380,1.1,5.22719e-05
381,1.105,5.23623e-05
382,1.11,5.24512e-05
383,1.115,5.25286e-05
384,1.12,5.26093e-05
385,1.125,5.26889e-05
386,1.13,5.27593e-05
387,1.135,5.28343e-05
388,1.14,5.29249e-05
389,1.145,5.30192e-05
390,1.15,5.31241e-05
391,1.155,5.32499e-05
392,1.16,5.33841e-05
393,1.165,5.3523e-05
394,1.17,5.36852e-05
395,1.175,5.38486e-05
396,1.18,5.40202e-05
397,1.185,5.42103e-05
398,1.19,5.44131e-05
399,1.195,5.46225e-05
400,1.19999,5.48446e-05
401,1.20499,5.50508e-05
402,1.20999,5.52733e-05
403,1.21499,5.55225e-05
404,1.21999,5.57767e-05
405,1.22499,5.60477e-05
406,1.22999,5.63336e-05
407,1.23499,5.66277e-05
408,1.23999,5.69346e-05
409,1.24499,5.72484e-05
410,1.24999,5.7567e-05
411,1.25499,5.78998e-05
412,1.25999,5.82475e-05
413,1.26499,5.86049e-05
414,1.26999,5.89777e-05
415,1.27499,5.93835e-05
416,1.27999,5.98265e-05
417,1.28499,6.02674e-05
418,1.28999,6.07001e-05
419,1.29499,6.11734e-05
420,1.29999,6.16716e-05
421,1.30499,6.21896e-05
422,1.30999,6.27164e-05
423,1.31499,6.32598e-05
