,"Voltage, V","Current, A"
0,-0.8,-4.06136e-05
1,-0.795,-3.91222e-05
2,-0.79,-3.79282e-05
3,-0.785,-3.68834e-05
4,-0.78,-3.59331e-05
5,-0.775,-3.50579e-05
6,-0.77,-3.42424e-05
7,-0.765,-3.34833e-05
8,-0.76,-3.27666e-05
9,-0.755,-3.20914e-05
10,-0.75,-3.14453e-05
11,-0.745,-3.08298e-05
12,-0.74,-3.02454e-05
13,-0.735,-2.96797e-05
14,-0.73,-2.91408e-05
15,-0.725,-2.86204e-05
16,-0.72,-2.81221e-05
17,-0.715,-2.76433e-05
18,-0.71,-2.71762e-05
19,-0.705,-2.674e-05
20,-0.7,-2.62844e-05
21,-0.695,-2.58486e-05
22,-0.69,-2.54289e-05
23,-0.685,-2.50227e-05
24,-0.68,-2.46557e-05
25,-0.675,-2.42707e-05
26,-0.67,-2.38853e-05
27,-0.665,-2.35181e-05
28,-0.66,-2.31623e-05
29,-0.655,-2.28217e-05
30,-0.65,-2.24925e-05
31,-0.645,-2.21698e-05
32,-0.64,-2.18594e-05
33,-0.635,-2.15306e-05
34,-0.63,-2.12072e-05
35,-0.625,-2.08923e-05
36,-0.62,-2.05833e-05
37,-0.615,-2.02785e-05
38,-0.61,-1.99794e-05
39,-0.605,-1.96838e-05
40,-0.600001,-1.93941e-05
41,-0.595001,-1.91099e-05
42,-0.590001,-1.88277e-05
43,-0.585001,-1.85493e-05
44,-0.580001,-1.82762e-05
45,-0.575001,-1.80037e-05
46,-0.570001,-1.77368e-05
47,-0.565001,-1.74703e-05
48,-0.560001,-1.72089e-05
49,-0.555001,-1.69462e-05
50,-0.550001,-1.66892e-05
51,-0.545001,-1.64337e-05
52,-0.540001,-1.61794e-05
53,-0.535001,-1.59283e-05
54,-0.530001,-1.56774e-05
55,-0.525001,-1.54302e-05
56,-0.520001,-1.51818e-05
57,-0.515001,-1.49383e-05
58,-0.510001,-1.46953e-05
59,-0.505001,-1.44563e-05
60,-0.500001,-1.42159e-05
61,-0.495001,-1.39817e-05
62,-0.490001,-1.37447e-05
63,-0.485001,-1.35138e-05
64,-0.480001,-1.32817e-05
65,-0.475001,-1.30555e-05
66,-0.470001,-1.28314e-05
67,-0.465001,-1.26098e-05
68,-0.460001,-1.23906e-05
69,-0.455001,-1.21736e-05
70,-0.450001,-1.19613e-05
71,-0.445001,-1.17508e-05
72,-0.440001,-1.15447e-05
73,-0.435001,-1.1342e-05
74,-0.430001,-1.11403e-05
75,-0.425001,-1.09434e-05
76,-0.420001,-1.07483e-05
77,-0.415001,-1.05575e-05
78,-0.410001,-1.03694e-05
79,-0.405001,-1.01831e-05
80,-0.400001,-1.0002e-05
81,-0.395001,-9.82218e-06
82,-0.390001,-9.64394e-06
83,-0.385001,-9.47074e-06
84,-0.380001,-9.29858e-06
85,-0.375001,-9.12607e-06
86,-0.370001,-8.95544e-06
87,-0.365001,-8.78823e-06
88,-0.360001,-8.62212e-06
89,-0.355001,-8.45523e-06
90,-0.350001,-8.2912e-06
91,-0.345001,-8.12626e-06
92,-0.340001,-7.96288e-06
93,-0.335001,-7.79982e-06
94,-0.330001,-7.63486e-06
95,-0.325001,-7.4718e-06
96,-0.320001,-7.30634e-06
97,-0.315001,-7.14405e-06
98,-0.310001,-6.98054e-06
99,-0.305001,-6.81703e-06
100,-0.300001,-6.65304e-06
101,-0.295001,-6.49133e-06
102,-0.290001,-6.32755e-06
103,-0.285001,-6.16329e-06
104,-0.280001,-6.00003e-06
105,-0.275001,-5.83404e-06
106,-0.270001,-5.66986e-06
107,-0.265001,-5.50605e-06
108,-0.260001,-5.34311e-06
109,-0.255001,-5.17945e-06
110,-0.250001,-5.01792e-06
111,-0.245001,-4.85463e-06
112,-0.240001,-4.69207e-06
113,-0.235001,-4.53396e-06
114,-0.230001,-4.37227e-06
115,-0.225001,-4.21126e-06
116,-0.220001,-4.05063e-06
117,-0.215001,-3.89082e-06
118,-0.210001,-3.7323e-06
119,-0.205001,-3.57264e-06
120,-0.200002,-3.45761e-06
121,-0.195002,-3.3007e-06
122,-0.190002,-3.14093e-06
123,-0.185002,-2.98165e-06
124,-0.180002,-2.82458e-06
125,-0.175002,-2.66617e-06
126,-0.170002,-2.50764e-06
127,-0.165002,-2.34898e-06
128,-0.160002,-2.19186e-06
129,-0.155002,-2.03265e-06
130,-0.150002,-1.8725e-06
131,-0.145002,-1.71543e-06
132,-0.140002,-1.5547e-06
133,-0.135002,-1.39523e-06
134,-0.130002,-1.23301e-06
135,-0.125002,-1.07082e-06
136,-0.120002,-9.06722e-07
137,-0.115002,-7.43813e-07
138,-0.110002,-5.75025e-07
139,-0.105002,-4.08268e-07
140,-0.100002,-2.40642e-07
141,-0.0950018,-6.93977e-08
142,-0.0900018,1.01499e-07
143,-0.0850018,2.74856e-07
144,-0.0800018,4.46535e-07
145,-0.0750018,6.2329e-07
146,-0.0700018,7.99555e-07
147,-0.0650018,9.78039e-07
148,-0.0600019,1.15545e-06
149,-0.0550019,1.33707e-06
150,-0.0500019,1.51964e-06
151,-0.0450019,1.70378e-06
152,-0.0400019,1.88801e-06
153,-0.0350019,2.07473e-06
154,-0.0300019,2.26252e-06
155,-0.0250019,2.45228e-06
156,-0.020002,2.64416e-06
157,-0.015002,2.83477e-06
158,-0.010002,3.02905e-06
159,-0.00500199,3.2248e-06
160,-2e-06,3.4223e-06
161,0.00499799,3.62029e-06
162,0.00999797,3.8215e-06
163,0.014998,4.02382e-06
164,0.0199979,4.2302e-06
165,0.0249979,4.43795e-06
166,0.0299979,4.64871e-06
167,0.0349979,4.86293e-06
168,0.0399979,5.07935e-06
169,0.0449979,5.2995e-06
170,0.0499979,5.52468e-06
171,0.0549979,5.7523e-06
172,0.0599978,5.98539e-06
173,0.0649978,6.22255e-06
174,0.0699978,6.46355e-06
175,0.0749978,6.71158e-06
176,0.0799978,6.96529e-06
177,0.0849978,7.22489e-06
178,0.0899978,7.49114e-06
179,0.0949978,7.76428e-06
180,0.0999977,8.04183e-06
181,0.104998,8.33025e-06
182,0.109998,8.62462e-06
183,0.114998,8.92612e-06
184,0.119998,9.23434e-06
185,0.124998,9.55033e-06
186,0.129998,9.87815e-06
187,0.134998,1.02115e-05
188,0.139998,1.05515e-05
189,0.144998,1.09023e-05
190,0.149998,1.12624e-05
191,0.154998,1.16301e-05
192,0.159998,1.20062e-05
193,0.164998,1.23911e-05
194,0.169998,1.27844e-05
195,0.174998,1.31859e-05
196,0.179998,1.35946e-05
197,0.184998,1.40132e-05
198,0.189998,1.44409e-05
199,0.194998,1.48754e-05
200,0.199997,1.53179e-05
201,0.204997,1.5767e-05
202,0.209997,1.62256e-05
203,0.214997,1.66911e-05
204,0.219997,1.71634e-05
205,0.224997,1.76429e-05
206,0.229997,1.81283e-05
207,0.234997,1.86191e-05
208,0.239997,1.91142e-05
209,0.244997,1.96151e-05
210,0.249997,2.0121e-05
211,0.254997,2.06824e-05
212,0.259997,2.11903e-05
213,0.264997,2.17028e-05
214,0.269997,2.2214e-05
215,0.274997,2.27262e-05
216,0.279997,2.32374e-05
217,0.284997,2.37472e-05
218,0.289997,2.42553e-05
219,0.294997,2.47607e-05
220,0.299997,2.52644e-05
221,0.304997,2.57614e-05
222,0.309997,2.62531e-05
223,0.314997,2.67412e-05
224,0.319997,2.72222e-05
225,0.324997,2.76914e-05
226,0.329997,2.81582e-05
227,0.334997,2.86141e-05
228,0.339997,2.90611e-05
229,0.344997,2.94981e-05
230,0.349997,2.99282e-05
231,0.354997,3.03425e-05
232,0.359997,3.07456e-05
233,0.364997,3.11308e-05
234,0.369997,3.15129e-05
235,0.374997,3.18634e-05
236,0.379997,3.21939e-05
237,0.384997,3.25102e-05
238,0.389997,3.27998e-05
239,0.394997,3.30523e-05
240,0.399997,3.32762e-05
241,0.404997,3.3529e-05
242,0.409997,3.37776e-05
243,0.414997,3.39757e-05
244,0.419997,3.4182e-05
245,0.424997,3.4391e-05
246,0.429997,3.45526e-05
247,0.434997,3.46708e-05
248,0.439997,3.47851e-05
249,0.444997,3.4889e-05
250,0.449997,3.49587e-05
251,0.454997,3.5041e-05
252,0.459997,3.51301e-05
253,0.464997,3.52354e-05
254,0.469997,3.53357e-05
255,0.474997,3.54478e-05
256,0.479997,3.55655e-05
257,0.484997,3.56719e-05
258,0.489997,3.57738e-05
259,0.494997,3.58839e-05
260,0.499997,3.5997e-05
261,0.504997,3.60776e-05
262,0.509997,3.61841e-05
263,0.514997,3.63048e-05
264,0.519997,3.64132e-05
265,0.524997,3.65176e-05
266,0.529997,3.66125e-05
267,0.534997,3.67048e-05
268,0.539997,3.68084e-05
269,0.544997,3.69236e-05
270,0.549997,3.70191e-05
271,0.554997,3.71117e-05
272,0.559997,3.72054e-05
273,0.564997,3.72988e-05
274,0.569997,3.73896e-05
275,0.574997,3.74859e-05
276,0.579997,3.75966e-05
277,0.584997,3.77203e-05
278,0.589997,3.78584e-05
279,0.594997,3.8001e-05
280,0.599996,3.81391e-05
281,0.604996,3.82902e-05
282,0.609996,3.84444e-05
283,0.614996,3.86066e-05
284,0.619996,3.87728e-05
285,0.624996,3.89399e-05
286,0.629996,3.91188e-05
287,0.634996,3.9298e-05
288,0.639996,3.94867e-05
289,0.644996,3.96775e-05
290,0.649996,3.98711e-05
291,0.654996,4.00746e-05
292,0.659996,4.02744e-05
293,0.664996,4.04839e-05
294,0.669996,4.06915e-05
295,0.674996,4.09007e-05
296,0.679996,4.11107e-05
297,0.684996,4.13213e-05
298,0.689996,4.1533e-05
299,0.694996,4.17549e-05
300,0.699996,4.19846e-05
301,0.704996,4.22167e-05
302,0.709996,4.2449e-05
303,0.714996,4.26918e-05
304,0.719996,4.29451e-05
305,0.724996,4.31938e-05
306,0.729996,4.34317e-05
307,0.734996,4.36715e-05
308,0.739996,4.3925e-05
309,0.744996,4.41726e-05
310,0.749996,4.44121e-05
311,0.754996,4.46483e-05
312,0.759996,4.48954e-05
313,0.764996,4.51658e-05
314,0.769996,4.54376e-05
315,0.774996,4.57111e-05
316,0.779996,4.59757e-05
317,0.784996,4.62696e-05
318,0.789996,4.65115e-05
319,0.794996,4.67862e-05
320,0.799996,4.70643e-05
321,0.804996,4.7349e-05
322,0.809996,4.76261e-05
323,0.814996,4.7915e-05
324,0.819996,4.8193e-05
325,0.824996,4.8435e-05
326,0.829996,4.86892e-05
327,0.834996,4.89534e-05
328,0.839996,4.91993e-05
329,0.844996,4.94635e-05
330,0.849996,4.97185e-05
331,0.854996,4.9966e-05
332,0.859996,5.02217e-05
333,0.864996,5.04923e-05
334,0.869996,5.07666e-05
335,0.874996,5.10384e-05
336,0.879996,5.12865e-05
337,0.884996,5.15165e-05
338,0.889996,5.17586e-05
339,0.894996,5.20016e-05
340,0.899996,5.22472e-05
341,0.904996,5.25054e-05
342,0.909996,5.27479e-05
343,0.914996,5.30024e-05
344,0.919996,5.32489e-05
345,0.924996,5.35021e-05
346,0.929996,5.37489e-05
347,0.934996,5.39972e-05
348,0.939996,5.4229e-05
349,0.944996,5.44657e-05
350,0.949996,5.47048e-05
351,0.954996,5.49457e-05
352,0.959996,5.51798e-05
353,0.964996,5.54159e-05
354,0.969996,5.56297e-05
355,0.974996,5.5837e-05
356,0.979996,5.60408e-05
357,0.984996,5.62452e-05
358,0.989996,5.64432e-05
359,0.994996,5.66426e-05
360,0.999995,5.68369e-05
361,1.005,5.7027e-05
362,1.01,5.72203e-05
363,1.015,5.74095e-05
364,1.02,5.75936e-05
365,1.025,5.77716e-05
366,1.03,5.79469e-05
367,1.035,5.81166e-05
368,1.04,5.82836e-05
369,1.045,5.8448e-05
370,1.05,5.8612e-05
371,1.055,5.87727e-05
372,1.06,5.8925e-05
373,1.065,5.90695e-05
374,1.07,5.92025e-05
375,1.075,5.93332e-05
376,1.08,5.94579e-05
377,1.085,5.95867e-05
378,1.09,5.97178e-05
379,1.095,5.98506e-05
380,1.1,5.99746e-05
381,1.105,6.01044e-05
382,1.11,6.0229e-05
383,1.115,6.03597e-05
384,1.12,6.05039e-05
385,1.125,6.06348e-05
