,"Voltage, V","Current, A"
0,-0.8,-5.07102e-05
1,-0.795,-4.90112e-05
2,-0.79,-4.76774e-05
3,-0.785,-4.63804e-05
4,-0.78,-4.53232e-05
5,-0.775,-4.4291e-05
6,-0.77,-4.33108e-05
7,-0.765,-4.24241e-05
8,-0.76,-4.15098e-05
9,-0.755,-4.07063e-05
10,-0.75,-3.9906e-05
11,-0.745,-3.91169e-05
12,-0.74,-3.88827e-05
13,-0.735,-3.81812e-05
14,-0.73,-3.7464e-05
15,-0.725,-3.6805e-05
16,-0.72,-3.61765e-05
17,-0.715,-3.55469e-05
18,-0.71,-3.49316e-05
19,-0.705,-3.43478e-05
20,-0.7,-3.37847e-05
21,-0.695,-3.32285e-05
22,-0.69,-3.26986e-05
23,-0.685,-3.21843e-05
24,-0.68,-3.16796e-05
25,-0.675,-3.11817e-05
26,-0.67,-3.07009e-05
27,-0.665,-3.02413e-05
28,-0.66,-2.97789e-05
29,-0.655,-2.93155e-05
30,-0.65,-2.88801e-05
31,-0.645,-2.84427e-05
32,-0.64,-2.80258e-05
33,-0.635,-2.76199e-05
34,-0.63,-2.72113e-05
35,-0.625,-2.68167e-05
36,-0.62,-2.64295e-05
37,-0.615,-2.60574e-05
38,-0.61,-2.57079e-05
39,-0.605,-2.53129e-05
40,-0.600001,-2.49598e-05
41,-0.595001,-2.46229e-05
42,-0.590001,-2.42817e-05
43,-0.585001,-2.39104e-05
44,-0.580001,-2.35494e-05
45,-0.575001,-2.32195e-05
46,-0.570001,-2.2926e-05
47,-0.565001,-2.25929e-05
48,-0.560001,-2.22568e-05
49,-0.555001,-2.19146e-05
50,-0.550001,-2.15715e-05
51,-0.545001,-2.12468e-05
52,-0.540001,-2.09511e-05
53,-0.535001,-2.06915e-05
54,-0.530001,-2.03223e-05
55,-0.525001,-2.00504e-05
56,-0.520001,-1.97347e-05
57,-0.515001,-1.93996e-05
58,-0.510001,-1.91399e-05
59,-0.505001,-1.88347e-05
60,-0.500001,-1.85627e-05
61,-0.495001,-1.82934e-05
62,-0.490001,-1.79615e-05
63,-0.485001,-1.76613e-05
64,-0.480001,-1.73756e-05
65,-0.475001,-1.71276e-05
66,-0.470001,-1.68591e-05
67,-0.465001,-1.6577e-05
68,-0.460001,-1.63177e-05
69,-0.455001,-1.60131e-05
70,-0.450001,-1.57524e-05
71,-0.445001,-1.548e-05
72,-0.440001,-1.52196e-05
73,-0.435001,-1.4959e-05
74,-0.430001,-1.47007e-05
75,-0.425001,-1.44432e-05
76,-0.420001,-1.41905e-05
77,-0.415001,-1.39354e-05
78,-0.410001,-1.37138e-05
79,-0.405001,-1.34529e-05
80,-0.400001,-1.32007e-05
81,-0.395001,-1.29766e-05
82,-0.390001,-1.27416e-05
83,-0.385001,-1.25144e-05
84,-0.380001,-1.22905e-05
85,-0.375001,-1.20644e-05
86,-0.370001,-1.18387e-05
87,-0.365001,-1.16207e-05
88,-0.360001,-1.1401e-05
89,-0.355001,-1.11896e-05
90,-0.350001,-1.09712e-05
91,-0.345001,-1.07644e-05
92,-0.340001,-1.05635e-05
93,-0.335001,-1.03546e-05
94,-0.330001,-1.01409e-05
95,-0.325001,-9.932e-06
96,-0.320001,-9.72652e-06
97,-0.315001,-9.52315e-06
98,-0.310001,-9.31855e-06
99,-0.305001,-9.13252e-06
100,-0.300001,-8.905e-06
101,-0.295001,-8.70007e-06
102,-0.290001,-8.49335e-06
103,-0.285001,-8.30912e-06
104,-0.280001,-8.08877e-06
105,-0.275001,-7.86822e-06
106,-0.270001,-7.66237e-06
107,-0.265001,-7.46532e-06
108,-0.260001,-7.26777e-06
109,-0.255001,-7.04193e-06
110,-0.250001,-6.856e-06
111,-0.245001,-6.6453e-06
112,-0.240001,-6.44592e-06
113,-0.235001,-6.24812e-06
114,-0.230001,-6.05142e-06
115,-0.225001,-5.85059e-06
116,-0.220001,-5.65804e-06
117,-0.215001,-5.44311e-06
118,-0.210001,-5.24469e-06
119,-0.205001,-5.04641e-06
120,-0.200002,-4.84618e-06
121,-0.195002,-4.65113e-06
122,-0.190002,-4.4534e-06
123,-0.185002,-4.25903e-06
124,-0.180002,-4.06435e-06
125,-0.175002,-3.86829e-06
126,-0.170002,-3.67012e-06
127,-0.165002,-3.48211e-06
128,-0.160002,-3.32559e-06
129,-0.155002,-3.15109e-06
130,-0.150002,-2.97486e-06
131,-0.145002,-2.74828e-06
132,-0.140002,-2.57901e-06
133,-0.135002,-2.37843e-06
134,-0.130002,-2.18979e-06
135,-0.125002,-1.99485e-06
136,-0.120002,-1.83661e-06
137,-0.115002,-1.61138e-06
138,-0.110002,-1.40808e-06
139,-0.105002,-1.21035e-06
140,-0.100002,-1.01889e-06
141,-0.0950018,-8.3078e-07
142,-0.0900018,-6.3909e-07
143,-0.0850018,-4.40723e-07
144,-0.0800018,-2.50125e-07
145,-0.0750018,-5.61544e-08
146,-0.0700018,1.7149e-07
147,-0.0650018,3.49882e-07
148,-0.0600019,5.29914e-07
149,-0.0550019,7.30046e-07
150,-0.0500019,9.36275e-07
151,-0.0450019,1.13722e-06
152,-0.0400019,1.39154e-06
153,-0.0350019,1.58954e-06
154,-0.0300019,1.77565e-06
155,-0.0250019,1.9923e-06
156,-0.020002,2.2337e-06
157,-0.015002,2.44697e-06
158,-0.010002,2.71341e-06
159,-0.00500199,2.94718e-06
160,-2e-06,3.12105e-06
161,0.00499799,3.32864e-06
162,0.00999797,3.57336e-06
163,0.014998,3.8054e-06
164,0.0199979,4.14682e-06
165,0.0249979,4.32708e-06
166,0.0299979,4.49266e-06
167,0.0349979,4.82994e-06
168,0.0399979,5.06576e-06
169,0.0449979,5.31658e-06
170,0.0499979,5.64013e-06
171,0.0549979,5.79893e-06
172,0.0599978,5.8539e-06
173,0.0649978,6.21075e-06
174,0.0699978,6.36568e-06
175,0.0749978,6.65835e-06
176,0.0799978,6.92566e-06
177,0.0849978,7.14281e-06
178,0.0899978,7.39693e-06
179,0.0949978,7.73434e-06
180,0.0999977,8.02795e-06
181,0.104998,8.38004e-06
182,0.109998,8.65857e-06
183,0.114998,8.93123e-06
184,0.119998,9.2674e-06
185,0.124998,9.58278e-06
186,0.129998,9.90798e-06
187,0.134998,1.02446e-05
188,0.139998,1.0576e-05
189,0.144998,1.09196e-05
190,0.149998,1.12707e-05
191,0.154998,1.16233e-05
192,0.159998,1.19904e-05
193,0.164998,1.23667e-05
194,0.169998,1.2757e-05
195,0.174998,1.31549e-05
196,0.179998,1.35503e-05
197,0.184998,1.39528e-05
198,0.189998,1.43765e-05
199,0.194998,1.47981e-05
200,0.199997,1.52165e-05
201,0.204997,1.56535e-05
202,0.209997,1.61009e-05
203,0.214997,1.65574e-05
204,0.219997,1.70533e-05
205,0.224997,1.74838e-05
206,0.229997,1.79824e-05
207,0.234997,1.86023e-05
208,0.239997,1.9105e-05
209,0.244997,1.95748e-05
210,0.249997,2.00538e-05
211,0.254997,2.0623e-05
212,0.259997,2.10699e-05
213,0.264997,2.16579e-05
214,0.269997,2.22004e-05
215,0.274997,2.26408e-05
216,0.279997,2.30415e-05
217,0.284997,2.36613e-05
218,0.289997,2.41903e-05
219,0.294997,2.47827e-05
220,0.299997,2.54389e-05
221,0.304997,2.59813e-05
222,0.309997,2.63262e-05
223,0.314997,2.69226e-05
224,0.319997,2.7459e-05
225,0.324997,2.80448e-05
226,0.329997,2.8661e-05
227,0.334997,2.91044e-05
228,0.339997,2.95582e-05
229,0.344997,3.01407e-05
230,0.349997,3.06434e-05
231,0.354997,3.11956e-05
232,0.359997,3.17653e-05
233,0.364997,3.22669e-05
234,0.369997,3.27572e-05
235,0.374997,3.33011e-05
236,0.379997,3.37854e-05
237,0.384997,3.42728e-05
238,0.389997,3.47299e-05
239,0.394997,3.51638e-05
240,0.399997,3.5594e-05
241,0.404997,3.60456e-05
242,0.409997,3.64802e-05
243,0.414997,3.68717e-05
244,0.419997,3.72447e-05
245,0.424997,3.76018e-05
246,0.429997,3.79513e-05
247,0.434997,3.82922e-05
248,0.439997,3.85764e-05
249,0.444997,3.88669e-05
250,0.449997,3.9102e-05
251,0.454997,3.93452e-05
252,0.459997,3.95516e-05
253,0.464997,3.97212e-05
