,"Voltage, V","Current, A"
0,-0.8,-7.97118e-05
1,-0.795,-5.98138e-05
2,-0.79,-4.90994e-05
3,-0.785,-4.14463e-05
4,-0.78,-4.44525e-05
5,-0.775,-4.06214e-05
6,-0.77,-3.75566e-05
7,-0.765,-3.51047e-05
8,-0.76,-3.41391e-05
9,-0.755,-3.22383e-05
10,-0.75,-3.06287e-05
11,-0.745,-2.91878e-05
12,-0.74,-2.79002e-05
13,-0.735,-2.67351e-05
14,-0.73,-2.56621e-05
15,-0.725,-2.46504e-05
16,-0.72,-2.37306e-05
17,-0.715,-2.28569e-05
18,-0.71,-2.20291e-05
19,-0.705,-2.12473e-05
20,-0.7,-2.05269e-05
21,-0.695,-1.98217e-05
22,-0.69,-1.91626e-05
23,-0.685,-1.85341e-05
24,-0.68,-1.79362e-05
25,-0.675,-1.73844e-05
26,-0.67,-1.68172e-05
27,-0.665,-1.6296e-05
28,-0.66,-1.58055e-05
29,-0.655,-1.53303e-05
30,-0.65,-1.48858e-05
31,-0.645,-1.44565e-05
32,-0.64,-1.40427e-05
33,-0.635,-1.36288e-05
34,-0.63,-1.32302e-05
35,-0.625,-1.28317e-05
36,-0.62,-1.24484e-05
37,-0.615,-1.20805e-05
38,-0.61,-1.17126e-05
39,-0.605,-1.14214e-05
40,-0.600001,-1.11301e-05
41,-0.595001,-1.07776e-05
42,-0.590001,-1.04403e-05
43,-0.585001,-1.01184e-05
44,-0.580001,-9.79649e-06
45,-0.575001,-9.50524e-06
46,-0.570001,-9.24465e-06
47,-0.565001,-8.99938e-06
48,-0.560001,-8.72346e-06
49,-0.555001,-8.47819e-06
50,-0.550001,-8.2176e-06
51,-0.545001,-7.94167e-06
52,-0.540001,-7.72706e-06
53,-0.535001,-7.52779e-06
54,-0.530001,-7.29785e-06
55,-0.525001,-7.05258e-06
56,-0.520001,-6.82265e-06
57,-0.515001,-6.62337e-06
58,-0.510001,-6.40876e-06
59,-0.505001,-6.20948e-06
60,-0.500001,-6.02553e-06
61,-0.495001,-5.82626e-06
62,-0.490001,-5.64231e-06
63,-0.485001,-5.45836e-06
64,-0.480001,-5.28974e-06
65,-0.475001,-5.10579e-06
66,-0.470001,-4.93717e-06
67,-0.465001,-4.76855e-06
68,-0.460001,-4.59993e-06
69,-0.455001,-4.64275e-06
70,-0.450001,-4.40985e-06
71,-0.445001,-4.25356e-06
72,-0.440001,-4.10187e-06
73,-0.435001,-3.94712e-06
74,-0.430001,-3.80615e-06
75,-0.425001,-3.65753e-06
76,-0.420001,-3.51656e-06
77,-0.415001,-3.37713e-06
78,-0.410001,-3.23923e-06
79,-0.405001,-3.0998e-06
80,-0.400001,-2.96496e-06
81,-0.395001,-2.83319e-06
82,-0.390001,-2.70602e-06
83,-0.385001,-2.57731e-06
84,-0.380001,-2.44554e-06
85,-0.375001,-2.3199e-06
86,-0.370001,-2.19886e-06
87,-0.365001,-2.07628e-06
88,-0.360001,-1.94604e-06
89,-0.355001,-1.82193e-06
90,-0.350001,-1.70548e-06
91,-0.345001,-1.5875e-06
92,-0.340001,-1.47105e-06
93,-0.335001,-1.35613e-06
94,-0.330001,-1.24275e-06
95,-0.325001,-1.12937e-06
96,-0.320001,-1.01598e-06
97,-0.315001,-9.05662e-07
98,-0.310001,-8.01471e-07
99,-0.305001,-6.91151e-07
100,-0.300001,-5.8696e-07
101,-0.295001,-4.84301e-07
102,-0.290001,-3.8011e-07
103,-0.285001,-2.80516e-07
104,-0.280001,-1.80922e-07
105,-0.275001,-1.76151e-07
106,-0.270001,-7.51985e-08
107,-0.265001,8.56846e-08
108,-0.260001,1.83747e-07
109,-0.255001,2.8947e-07
110,-0.250001,3.04437e-07
111,-0.245001,3.92129e-07
