,"Voltage, V","Current, A"
0,-0.8,-8.94928e-05
1,-0.795,-5.95721e-05
2,-0.79,-4.77677e-05
3,-0.785,-4.02383e-05
4,-0.78,-3.8902e-05
5,-0.775,-3.50049e-05
6,-0.77,-3.19459e-05
7,-0.765,-2.9458e-05
8,-0.76,-2.77875e-05
9,-0.755,-2.60622e-05
10,-0.75,-2.45538e-05
11,-0.745,-2.32409e-05
12,-0.74,-2.20567e-05
13,-0.735,-2.09887e-05
14,-0.73,-2.00412e-05
15,-0.725,-1.91692e-05
16,-0.72,-1.83662e-05
17,-0.715,-1.75657e-05
18,-0.71,-1.67012e-05
19,-0.705,-1.60402e-05
20,-0.7,-1.54409e-05
21,-0.695,-1.49143e-05
22,-0.69,-1.45197e-05
23,-0.685,-1.40155e-05
24,-0.68,-1.35106e-05
25,-0.675,-1.30472e-05
26,-0.67,-1.26424e-05
27,-0.665,-1.22089e-05
28,-0.66,-1.18166e-05
29,-0.655,-1.14675e-05
30,-0.65,-1.11709e-05
31,-0.645,-1.09444e-05
32,-0.64,-1.06868e-05
33,-0.635,-1.04658e-05
34,-0.63,-1.00124e-05
35,-0.625,-9.62572e-06
36,-0.62,-9.30005e-06
37,-0.615,-9.05244e-06
38,-0.61,-8.81875e-06
39,-0.605,-8.63891e-06
40,-0.600001,-8.42196e-06
41,-0.595001,-8.17183e-06
42,-0.590001,-7.95455e-06
43,-0.585001,-7.98515e-06
44,-0.580001,-7.66367e-06
45,-0.575001,-7.39194e-06
46,-0.570001,-7.15575e-06
47,-0.565001,-6.95822e-06
48,-0.560001,-6.77851e-06
49,-0.555001,-6.5417e-06
50,-0.550001,-6.30245e-06
51,-0.545001,-6.20053e-06
52,-0.540001,-6.04932e-06
53,-0.535001,-5.86309e-06
54,-0.530001,-5.82032e-06
55,-0.525001,-5.81052e-06
56,-0.520001,-5.53487e-06
57,-0.515001,-5.33926e-06
58,-0.510001,-5.04661e-06
59,-0.505001,-4.98137e-06
60,-0.500001,-4.89757e-06
61,-0.495001,-4.81369e-06
62,-0.490001,-4.73301e-06
63,-0.485001,-4.66308e-06
64,-0.480001,-4.59344e-06
65,-0.475001,-4.39837e-06
66,-0.470001,-4.17749e-06
67,-0.465001,-4.17225e-06
68,-0.460001,-4.00976e-06
69,-0.455001,-3.79691e-06
70,-0.450001,-3.64822e-06
71,-0.445001,-3.39648e-06
72,-0.440001,-3.36538e-06
73,-0.435001,-3.28719e-06
74,-0.430001,-3.19345e-06
75,-0.425001,-3.09023e-06
76,-0.420001,-2.99937e-06
77,-0.415001,-2.94015e-06
78,-0.410001,-3.0343e-06
79,-0.405001,-2.85159e-06
80,-0.400001,-2.74889e-06
81,-0.395001,-2.64615e-06
82,-0.390001,-2.54586e-06
83,-0.385001,-2.4367e-06
84,-0.380001,-2.30407e-06
85,-0.375001,-2.14588e-06
86,-0.370001,-1.94966e-06
87,-0.365001,-1.83103e-06
88,-0.360001,-1.7933e-06
89,-0.355001,-1.80117e-06
90,-0.350001,-1.68697e-06
91,-0.345001,-1.56439e-06
92,-0.340001,-1.47752e-06
93,-0.335001,-1.36478e-06
94,-0.330001,-1.2813e-06
95,-0.325001,-1.19677e-06
96,-0.320001,-1.11676e-06
97,-0.315001,-1.0953e-06
98,-0.310001,-1.098e-06
99,-0.305001,-9.41281e-07
100,-0.300001,-8.03327e-07
101,-0.295001,-6.84339e-07
102,-0.290001,-5.69206e-07
103,-0.285001,-4.63902e-07
104,-0.280001,-3.63849e-07
105,-0.275001,-2.67143e-07
106,-0.270001,-1.76641e-07
107,-0.265001,-8.37603e-08
108,-0.260001,5.72154e-09
109,-0.255001,9.00008e-08
110,-0.250001,1.73928e-07
111,-0.245001,2.47164e-07
112,-0.240001,3.2974e-07
113,-0.235001,4.06681e-07
114,-0.230001,4.7558e-07
115,-0.225001,5.45621e-07
116,-0.220001,6.10145e-07
117,-0.215001,6.79702e-07
118,-0.210001,7.48318e-07
119,-0.205001,8.10162e-07
120,-0.200002,8.70433e-07
121,-0.195002,9.22186e-07
122,-0.190002,9.79918e-07
123,-0.185002,1.03442e-06
124,-0.180002,1.08347e-06
125,-0.175002,1.15058e-06
126,-0.170002,1.19527e-06
127,-0.165002,1.2517e-06
128,-0.160002,1.30718e-06
129,-0.155002,1.35585e-06
130,-0.150002,1.40574e-06
131,-0.145002,1.45372e-06
132,-0.140002,1.51037e-06
133,-0.135002,1.56007e-06
134,-0.130002,1.61028e-06
135,-0.125002,1.66209e-06
136,-0.120002,1.71195e-06
137,-0.115002,1.76687e-06
138,-0.110002,1.82322e-06
139,-0.105002,1.87603e-06
