,"Voltage, V","Current, A"
0,-0.8,-5.2417e-05
1,-0.795,-5.00226e-05
2,-0.79,-4.80197e-05
3,-0.785,-4.6552e-05
4,-0.78,-4.54734e-05
5,-0.775,-4.37648e-05
6,-0.77,-4.27172e-05
7,-0.765,-4.16782e-05
8,-0.76,-4.04881e-05
9,-0.755,-3.95062e-05
10,-0.75,-3.87064e-05
11,-0.745,-3.828e-05
12,-0.74,-3.7628e-05
13,-0.735,-3.6835e-05
14,-0.73,-3.60276e-05
15,-0.725,-3.53163e-05
16,-0.72,-3.46715e-05
17,-0.715,-3.38969e-05
18,-0.71,-3.31397e-05
19,-0.705,-3.22829e-05
20,-0.7,-3.16086e-05
21,-0.695,-3.10383e-05
22,-0.69,-3.04587e-05
23,-0.685,-2.98739e-05
24,-0.68,-2.92314e-05
25,-0.675,-2.86806e-05
26,-0.67,-2.81094e-05
27,-0.665,-2.75624e-05
28,-0.66,-2.69994e-05
29,-0.655,-2.64918e-05
30,-0.65,-2.59912e-05
31,-0.645,-2.54852e-05
32,-0.64,-2.4967e-05
33,-0.635,-2.44698e-05
34,-0.63,-2.40273e-05
35,-0.625,-2.35621e-05
36,-0.62,-2.30894e-05
37,-0.615,-2.26074e-05
38,-0.61,-2.21731e-05
39,-0.605,-2.17404e-05
40,-0.600001,-2.12643e-05
41,-0.595001,-2.0886e-05
42,-0.590001,-2.04767e-05
43,-0.585001,-2.00088e-05
44,-0.580001,-1.96293e-05
45,-0.575001,-1.92274e-05
46,-0.570001,-1.88608e-05
47,-0.565001,-1.84975e-05
48,-0.560001,-1.81374e-05
49,-0.555001,-1.77821e-05
50,-0.550001,-1.73837e-05
51,-0.545001,-1.70053e-05
52,-0.540001,-1.66655e-05
53,-0.535001,-1.63414e-05
54,-0.530001,-1.60052e-05
55,-0.525001,-1.56514e-05
56,-0.520001,-1.53298e-05
57,-0.515001,-1.50009e-05
58,-0.510001,-1.4695e-05
59,-0.505001,-1.4367e-05
60,-0.500001,-1.40636e-05
61,-0.495001,-1.376e-05
62,-0.490001,-1.34558e-05
63,-0.485001,-1.31938e-05
64,-0.480001,-1.2923e-05
65,-0.475001,-1.26267e-05
66,-0.470001,-1.2332e-05
67,-0.465001,-1.2054e-05
68,-0.460001,-1.17793e-05
69,-0.455001,-1.15069e-05
70,-0.450001,-1.12307e-05
71,-0.445001,-1.09443e-05
72,-0.440001,-1.06529e-05
73,-0.435001,-1.03674e-05
74,-0.430001,-1.00755e-05
75,-0.425001,-9.81173e-06
76,-0.420001,-9.55087e-06
77,-0.415001,-9.27826e-06
78,-0.410001,-8.9986e-06
79,-0.405001,-8.72362e-06
80,-0.400001,-8.47853e-06
81,-0.395001,-8.22534e-06
82,-0.390001,-7.96835e-06
83,-0.385001,-7.71414e-06
84,-0.380001,-7.47197e-06
85,-0.375001,-7.23365e-06
86,-0.370001,-6.99361e-06
87,-0.365001,-6.7295e-06
88,-0.360001,-6.47671e-06
89,-0.355001,-6.22977e-06
90,-0.350001,-5.97371e-06
91,-0.345001,-5.72612e-06
92,-0.340001,-5.47285e-06
93,-0.335001,-5.21794e-06
94,-0.330001,-4.95433e-06
95,-0.325001,-4.68667e-06
96,-0.320001,-4.43413e-06
97,-0.315001,-4.17057e-06
98,-0.310001,-3.92388e-06
99,-0.305001,-3.67747e-06
100,-0.300001,-3.44472e-06
101,-0.295001,-3.23609e-06
102,-0.290001,-2.95578e-06
103,-0.285001,-2.6946e-06
104,-0.280001,-2.43335e-06
105,-0.275001,-2.18572e-06
106,-0.270001,-1.94703e-06
107,-0.265001,-1.64063e-06
108,-0.260001,-1.37252e-06
109,-0.255001,-1.11747e-06
110,-0.250001,-8.70148e-07
111,-0.245001,-5.26976e-07
112,-0.240001,-4.16974e-07
113,-0.235001,1.13593e-07
114,-0.230001,4.48976e-07
115,-0.225001,6.50788e-07
116,-0.220001,8.58002e-07
117,-0.215001,1.12465e-06
118,-0.210001,1.45354e-06
119,-0.205001,1.58376e-06
120,-0.200002,2.12379e-06
121,-0.195002,2.54685e-06
122,-0.190002,2.71713e-06
123,-0.185002,2.86922e-06
124,-0.180002,3.20435e-06
125,-0.175002,3.64273e-06
126,-0.170002,3.94101e-06
127,-0.165002,4.33204e-06
128,-0.160002,4.60142e-06
129,-0.155002,5.00364e-06
130,-0.150002,5.38227e-06
131,-0.145002,5.80271e-06
132,-0.140002,6.27155e-06
133,-0.135002,6.80095e-06
134,-0.130002,7.30119e-06
135,-0.125002,7.83726e-06
136,-0.120002,8.40789e-06
137,-0.115002,9.03198e-06
138,-0.110002,9.69204e-06
139,-0.105002,1.04053e-05
140,-0.100002,1.11618e-05
141,-0.0950018,1.19602e-05
142,-0.0900018,1.28129e-05
143,-0.0850018,1.37385e-05
144,-0.0800018,1.4715e-05
145,-0.0750018,1.57471e-05
146,-0.0700018,1.68619e-05
147,-0.0650018,1.8058e-05
148,-0.0600019,1.93228e-05
149,-0.0550019,2.06705e-05
150,-0.0500019,2.21484e-05
151,-0.0450019,2.36751e-05
152,-0.0400019,2.52649e-05
